,str0,int1,float2,float3,str4,str5,str6
38,EHRIlSWoXmbznO,575,0.355392485991337,0.8625244590903604,tcjsqdi,GWpJRnUpiAy,mMeWrxMDsiFoEdLS
39,FfiOPnsb,755,0.1850059996996407,0.6746324451291194,IDjLSQnNySwRLhJeVsyN,hLKymtOwN,nnqYcutNPMg
40,uFELjNzslIrlBkA,51,0.3401751314729897,0.7343259299495551,UGXoHgkVsDb,evrbSQEtlucb,QxrKIvLfcI
41,qcFYINFrbEJUoD,463,0.6232971097809435,0.7358185235531202,fpzriDMkLvMgDcyRx,ytmLOHa,louqBFJrhwjURMRj
42,yXKARbUyL,808,0.6645614536280189,0.42916039688157015,XvhpxTiA,DQCmAgvSgwiPLkHQqoP,McULrcYb
43,HvHohXWbSsTEEzk,108,0.5331971712075999,0.2662023407844655,JBNmy,VJvBIFccu,zjcxJzpZ
44,lPIDEMuEmRi,183,0.054691437740691295,0.8356235993899152,gUDXoxvbrYFnP,NkbpxMkyRlClVgrK,AVZJuuSPa
45,BcvkEkekGlvi,734,0.2002761599198829,0.8825839083027296,wcDeyXWyKNwGpRy,mwVXaOzsSxFJykoj,PlHfyA
46,hfQaYhU,44,0.2852127048974632,0.29729568020798736,CFpqlimKSScjMKsg,BpndfUbVCqTVAYYxYJye,BgIEIAlxHTCM
47,dlUUWnJTbIi,304,0.803941288909071,0.8137101744678379,MZgOLKRDmfHcHoQDj,pByHUJueOvygklDEfY,QajtiSHBZzedaNHkST
48,WfYXsxxIktbh,999,0.25982149975491753,0.5325689166951454,icbdjwdip,VxlOUuvC,yMiyebaEmFMxek
49,zXUOtOyJcNwgHRE,416,0.01670932594880692,0.4619281361688776,aHuBAqzs,vrtQZpGl,sxTRwOgJpZqXMwUBBU
50,cQfQzlNGWCjhuDKYKx,588,0.5572238359826438,0.336384351468635,yiIAPcBSW,lWqxsEuctqzErhxUdfr,DIMRMeofGkgCBYoEeFV
51,rzddmtaFVdulxqMaDfVo,528,0.36722221409164635,0.5487745475057663,XCrXVvzXkceXVoZc,bKahVmlPOPgC,xAdgWCbWFPYX
52,OTfbvepJENsS,811,0.38144433421078183,0.4750639567934185,bygiblm,uryIjvvAdBnhJeiI,sGdAQfqMgEVZJD
53,UsIvsuCQmcB,684,0.5492079806627213,0.4797115527358352,yLCZPTYkT,afufvCoRgWozrneIEbkn,PbSSUPRiKX
54,KZHRVLPDFCtYWj,583,0.10311113917541848,0.9176755780270958,FzfZJvghXjPCLdWEr,qCVSVAN,rFzTLhvifQSLUQZ
55,vCbsiel,67,0.2040160888014565,0.8906877182005489,QoZGTSPKGqrcyuwGGVE,ayZwBhPlnrtVlWEgBw,YJgYBXXWkwMbpMnBM
56,LHJPqNzR,865,0.15578695425624822,0.11746896634020443,EfJiKsxqfWi,iShtxTOoUlDELZQQzb,rDopOaFAcybDB
57,KMUjNSjr,609,0.43072263961220514,0.8454435633331358,iLDaCZoATkLeePlI,OQhYXsjb,ioxzQYyWKZdhCLaudnq
58,aNBPeIXdhvuIlADzBzus,15,0.8296637190743372,0.4797923863319353,KcoLIrJeiR,zOnieQiIeHLro,mkucNFGODb
59,QdFvzKbqmbvkKERWEh,543,0.7356127949994056,0.20533007459403874,xQicoxA,DfqZtHAHHYwP,IvsDKwVoOvxeHjUy
60,ypOQnNqleytv,12,0.8941519707811483,0.2037171393224314,HsNTUgkodKXBQUwA,wDDOjtYZnhyXIjWhjXZi,dIYlbuoPtMERYW
61,wdwffpTjFcMCQdUsAaM,410,0.8986898113268492,0.6619705577232343,ExOtUofjQU,lRMqXSBjiH,ajkQfrRYmsAOctT
62,cBiGEuGBAMQZkDEPQrT,53,0.42609361510267496,0.4189334299871641,IkspvONqTkrZLxhwDNXZ,HFStYeEJbbW,YpTgdwqVGic
63,lzJqqHQAeDTZHtKtR,0,0.8693255957849007,0.5811097221348748,yohGllmvdWl,ELwDwHoFvO,raEyoXLqAKXCDr
64,KzXWXQWMfrrATYRgElS,606,0.9520583889611813,0.19656848134009064,khnCiakyODaq,fGTgKycSxqMPT,XoWVbZGelhAiP
65,WCnaEKlutNFiywls,439,0.1349475127868497,0.637700261039829,WEtPFBppM,kqBhUIJtsVoqDNp,fSBOdDAVioIqt
66,qlSHiccqyJjwelTj,249,0.09585611734861754,0.8410424246149526,uyBVmlvfoCrxh,HPQhfJH,cJNkcjkH
67,VYDJL,286,0.560046331236602,0.5900007524932098,nnQtltmCjcMrizP,YednQpzY,CvnAyDRW
68,YxfMKAknvJSeBPgxKyDy,926,0.6122657664197574,0.1102030263146081,xCQkfzGPSBRo,MpipyPobBJfAwZryaNZ,hLPudsDtSDH
69,JoXYCkabQQVzVh,160,0.774080609626308,0.8740573637172865,wcGvaeRgXzbD,RbfQzfohNHoqWzHaOSIs,sPRRiNw
70,jOKLeDtBVkdUuHOdpP,67,0.37558617867073085,0.6094118382384621,wYiOSfKzILfWd,satwksCBfMbCzIXwSRY,cMQhCvcr
71,EqKUgGkfp,63,0.6710966886153042,0.762842615573853,MfMiSvjuoD,NFSltJeWxJESzx,NaNwafecumF
72,gyhuZKTgrXdUHoVXD,506,0.7624572253406939,0.9507692146394772,OBTGdhYbZiPPTBeInqZc,EdooWbdJrJU,bEmTE
73,NoxmFfpLpavgGoYisbUW,412,0.5557635531214677,0.23156447510755196,XcQLuLtbKrtfoJdpoQA,aHdoinLITUCekYWABXR,ZZOIchigAJ
74,xTUofAZcqsnloUSl,746,0.5372917606067233,0.9875861419916416,wWwFN,ujsFUYaW,boGXBzirkaYSpFHKPX
75,glLPVMpd,775,0.39168409496307965,0.2847766614454105,XqZJMvGQ,IyqObqLEBUc,IyCuhJCQeOrRalW
76,mZZnGRZhUkpZrXtxEGa,991,0.46979651014886503,0.4085975093284435,qYSpntXGLZnPQkGWN,rLbFpdQ,plDLviPatS
77,hTnnjFYufZc,506,0.029501306690289608,0.2003590934683569,NElqvAK,tRjtpwsKWqXSkLAqI,bKPwOaJIvbkijjUYC
78,cexQSmCQpPeagxsFO,683,0.27787886630413616,0.13735296951085063,HizciOYnpt,IwRCPRWoCZ,xVlqZkpcNwizqzzVm
79,KoUdbgYaPeMKaUeApGeS,168,0.634190228428767,0.8794930519018072,DyQDIrutyOSzUOeltLT,LbBgOxHvl,aLbMkmSj
80,hNQmNINLlTCgThrkst,820,0.8704689466915856,0.2943813024230225,DtjzfDkI,NVMAImL,oODVPGoECcKjkTffXyjY
81,VCWcmSwuNMEHwmAst,701,0.4753470297922977,0.03484834088896449,bHMITgzJunZA,GpGeyaxpUcjRzMva,fEguZgz
82,DrKcXwqlhrolW,871,0.7960342748158197,0.796599428461269,TIHYDvIGd,IwuZYkmQKWohty,ELKlTpDPi
83,eBCyooou,812,0.41474890857980506,0.961314681401398,mpzrArDS,BcWjo,MeWzahfxsLzf
84,JAEwVmtHCmRnoIKFHXTG,546,0.15082400714754596,0.7528243456617156,tChSwpKUg,EspXj,uFiRSMljrpPTmxbO
85,dKdVQCClhKLmJPMSF,818,0.07395901684613437,0.22560105115684947,cMLvKUjQHRNcMBcfzOFY,ileoGdsjnnBTEu,rbJSiquQScXLt
86,XeurxFpsBqSQtvDC,568,0.289453869911923,0.46330607093620546,szXXMXngsJr,ZcUvRm,pSPaNLBxCkYlFuVKFdu
87,MBIvZGCmEooshd,393,0.12581385345973306,0.6793717688374804,meMjRmy,GlbvJbQkzNb,gCVDVF
88,hmMIYhaMgthicPOnU,984,0.6142814233679531,0.9383542135133113,xgEqrPrXSKk,qHgVrvGGZ,CpYqWSxNCxNcF
89,EbWYcKlvXMii,50,0.41363909438309276,0.6363466916842433,dDgKSiNfRXHChkP,BDNxFsvMHUEw,rJydL
90,GEPFf,118,0.7386417496109766,0.2685376575024283,UvZpVoVP,HglErrtTGWMqnGv,KzjuEWAwbrDmoQTkAvD
91,MppFIwOvlGHTqREZdlq,205,0.19580345794516973,0.5709573571397059,VGejIwWkaRSgkaWsjE,ZLxDPk,dzqAb
92,MLZaYRqGCLSKzfq,117,0.6912966466246295,0.44320826589135554,QknnyCRmVznfJTHK,oLrHw,BWkWYYJc
93,tEewKZGMiFPdzF,838,0.7349698184648252,0.030892620672610782,lmGUvJAqWGdTJUbMRv,oSAchrXiVxF,YnFosQULqLmN
94,FFMdOOjeuBaTfS,482,0.81837282285516,0.786831354211768,eVocPfzlLyksRI,HdMefD,amTbrOaQZNds
95,TpqLSZYfGMaRtZ,642,0.6139000026118159,0.5558675543341765,yAYPumzBHYMxfaHhhvL,vvFyESeagnYBqWEseL,QEQclBvlvznAJZ
96,XmTlgZD,231,0.06562895882284414,0.1807197969327774,ibwPojIdA,GwHHOwHkkriE,FwRvteZVzCjPinQqar
97,dgSduhrEY,686,0.44365859973341837,0.48720122625576134,UaXLkykGR,CDLtcrgvYJPafqZkxJSN,GXzBOyHEK
98,QNesIF,574,0.02214351661808267,0.5131849986964971,nmmhnSWvMnR,ugNcIFlJRrfmYwY,FmHVhtJxraGZTXKg
99,AjhWBcwAsWxMwa,100,0.5772579035680072,0.0936666892870418,wXhtGLUfrUBhTHjXP,HcrSgChdZhYOCMI,fUXHLttPTAjNgpVlyfX
100,lSFtRO,320,0.003095478350125913,0.22803002184419185,YwKelKAnbTBg,EhwinSMMksyVjMXsMgu,cikZEMOmVtdGQ
101,tXAwcShuKmGOhM,838,0.4644308712828791,0.5125264093473453,RUHaHoDd,MoJblMXMyobdyQXS,miCUCf
102,vIvrefj,504,0.6219680223338355,0.3997621198147202,dRCCoBXUlYWDKwWzSBb,yqBaynOAMcRgITSZcf,rFGPWPUyAdVxxINA
103,GSIyKPRbRzhB,431,0.17943831304954982,0.11086974924497373,wGsQEyUmp,EuCoTQmDLLUHu,Wxqxa
104,ZeFrpeGHim,746,0.9266441056932693,0.01625604995619534,OLWVGK,usKBGvyXPpBbhAQaAkA,Qkilirpg
105,CvBbQJtaZlfEDXht,804,0.24563266575762044,0.005022786965342196,XRSKe,PMfcVzlAYtSU,DoonRjz
106,sWUfCmKPSncazZW,669,0.5755383021154511,0.34772601233804235,KULYxDeBmdHGpQbk,aFjjJDZODtWcdZq,MgkQWD
107,JfbZZvEFVRWQ,235,0.48365110118222565,0.5392019849343609,sgtijKPt,GJhsvIQ,KaehLdttbIgAWI
108,HuMap,68,0.36575995813184214,0.971299820935755,sUYqRPDfMr,NvalpNclOvJOTmXL,vxfARPWXLfqGHV
109,wZNvRtkiv,629,0.927332281798251,0.9783635736842025,HMtZSDdpmhRdcy,gQWOYrcPXFMNdILovK,BGJdvnaEpvrFHedKHBiL
110,eyFhIYkfbAXCYE,863,0.26616696409684426,0.05339786574199912,EbDXalQFhglp,VIaGiWykHy,vdlwJRlxYTSfN
111,lTugPuGIKSlvgNclRClw,163,0.055441069898259476,0.49594793660751324,XbbLMTIZlv,nQipuKgGmQjne,FqhDAKMSvbcldwfW
112,xCUcqEPRaWIZ,387,0.45417304392067803,0.35526177074831244,SMRVZLvcxSMpXXg,nuPMbcEpslDfBxC,KRIbPhIkYslUQYG
113,HOClvtZwvhEatuSvGM,917,0.6433230359095767,0.10040516590770332,UmZTH,qndbbFmdB,IksrSDKaL
114,xXPSBHzdWoEjQvuNlf,302,0.1396974708269163,0.7773810105710928,LQPcTI,zprQofhyz,hNgQTURCwnv
115,rxRYyM,587,0.1473723121190108,0.5306247631823255,LlgJbt,prOErDyYZs,LzMhhDuOPNVcTrYLV
116,OxgMBaboLbgAHba,482,0.8193198705161849,0.30700856630485773,hMJfFSpgD,IMJlz,kHApfQpYU
117,XYwhSyvoZw,632,0.4012619156578521,0.9049482701804983,JdLBnbGsTqSs,UzhrjEGfZCIGkb,pazqEY
118,LZnRL,983,0.5073180648814211,0.1686987375769855,SvXbaGKEiHg,QlNtaImlXWpGw,fbPCAdyhCgJZI
119,PmlOlUaGJQlJVJ,18,0.8033460497059045,0.1424560786376653,AtPhdADyXMfM,xctHgAyzKv,zvJJG
120,FhNkDdpvygCq,16,0.39489658355946633,0.4981614264384272,UrScybrQVHstNKGmcp,rKAhcMGYlerYWHhOoy,HsyrAVHBnksulL
121,DuLfzcZQAojBKMjtXSDo,51,0.21812230466811522,0.6710491081001538,poylWeKsQDEItzOh,sbLSzHBupnzaj,MDoLTAVNeDb
122,PozJohCVHeMpKJPVhgN,523,0.13607273545782517,0.1452618260594335,yEiMKVoS,AnkMXVbmRvRlPx,IGjibSgMCsrs
123,SSLevoW,863,0.3886749916784872,0.6123364749150189,YDuljhPzGzJGoUi,YBdIalrstsa,PtfAYBhnpOvisXnoOvk
124,SnTXcNvTQRuTc,509,0.11865969900333573,0.42988618506438236,ujGCEPcgr,vEJcRgCoSeT,fifNyP
125,lyZDvNyxRQva,534,0.00929359906699534,0.7256308121987466,nifDWMQNCHHAmedcbWz,NzTaA,odlNnmOdGCAAoxTx
126,tFvlOc,620,0.24791454496417742,0.5616161007488031,JVHcF,VeivJ,ILDhjxc
127,oAgRMXmnqrDLdnPGAXh,817,0.29543617463382055,0.9333590396361175,VotaaJpCPuCJTBZ,LGCnuwKFxtrybyDMYhu,YZGnwNmCTlqbdogh
128,WlLCMdZXcybAAy,532,0.5316508354715419,0.2060088192204984,BGuBmLOJ,iuCKUDaCB,lhdndwHmKbtqd
129,TAtlIRjMOWGUsMiXcjBX,352,0.8280987745665743,0.6486869405581599,fVpABHnchHVEYJ,ZyaAPGWXO,bAfdtF
130,jPGvabx,224,0.6545476851092353,0.3827356407497039,IpEvfYmfaAW,qXSpk,ikPHUv
131,MygPpRt,27,0.7819657808578739,0.648847243199589,AGQDcmxHKjqXW,LkOLO,tEBxBnoCBiTRdCjx
132,hRayo,483,0.273974243031503,0.9605710586366522,ZkMRPiawDgQTLUvnFj,AoNPC,AIyDZDiD
133,GmUeyDwl,198,0.47844147717549756,0.7805940235971981,NdnnNhFQCFkSjA,NXWFc,AQdsexAXxudXzbpY
134,GQjTysZbdczhat,359,0.7660745230063377,0.9197193063893818,qaDlkfMscEkvmd,dBVaCaAjO,tEBadNQhhSMOjzOgNnq
135,HSDxhjzijut,322,0.4413862186995581,0.2806410513233848,kXAwdnWvp,IqbQlSWerjvEVajdubxA,UVQlSSYDVRCJBi
136,sphyvSyZtkz,511,0.7303918416602418,0.6363229195147342,zMEAzJpmkYMdzrAL,EtzWSiaQa,xbbcM
137,lyFsqByMDSlWdukYBwq,444,0.765504973334514,0.4615118540732228,dIgPx,nXYmlCOCRpVtzXtDMXRH,CMJfNYLLxUf
138,nHKQAM,942,0.1536718132014424,0.5005321333377062,LiIeVrueDqbnJUU,cJwFgLFpZWhjcRN,egYAqcfRqHFhQz
139,GgDJySYywAKrhBtdszzq,434,0.867715695296909,0.8350780235964317,HTFoXMjFca,ifBpBtVd,vacMlRSaDIVeCt
140,RmGWQtluMgEeUjQ,754,0.10147546026811483,0.3587319902442875,LhAJeaChxptZhWFdWuVA,TzuADrbXUZPcSNXDNio,RGVFbRqywwwyin
141,JoLTcqVqunFT,705,0.36844926152610213,0.3202592194710703,xwKDYwRrQos,JfWiv,CUEexbocXV
142,eZskRyBTdCBB,907,0.8171342268131907,0.9434168368065877,pRcQd,cJDJbnjZsfgW,wOBsPMHECELVWsr
143,ImvBUfhHKab,923,0.6231185220293688,0.7728999764833006,ihhtRQh,SaDwlRalHqgq,ggtHp
144,aIUUkRkvTTSQbEnJmu,444,0.6558674669304659,0.5656956614204383,qRBVAQXyY,zCrsbVqbhDBCnLBwe,fNlITBXu
145,yeYMUcK,611,0.5616068354430228,0.3834669760514693,STPMuxDivunag,AiiYwQcKxcpzvWag,waPjY
146,SdhCRpMAkFNVGUEeWEz,339,0.06769155605931299,0.20602405546211788,nXUPJi,LgUazesfaTYeSeJT,eyuERkYXUhpK
147,knkDbydNgWYolp,541,0.8099333781583015,0.6100165979662171,LxJHuyfUb,rcbtWxHEQAQblCiUVJ,hkCulUzjQBdvfNjMRg
148,wGojveOEmida,474,0.06827359361422602,0.27337208115078604,viDEdnggZBBKHgiDxjd,JezldITw,zXaXvXSfwJNl
149,XAmYXTAikmx,643,0.555151884301994,0.851560194763062,bApUndbYzsTaEN,gFkDL,RFCrTnOAjhkyJY
150,CZSEBLlpZrlMRgNVTmVs,90,0.7586925556060965,0.49805555416090963,SljILPVUvxbYgIrpe,ZpSaSAtq,wCOHkFIcobx
151,RfiRcAOjsCVBOhz,943,0.6344901877913235,0.1158645824393113,oyklZbTOoGcuSTbrZa,nsObCuWaSSQxqJtigAr,XStOckhKdxmfICpVdlIl
152,XLGuiZ,45,0.3414456540626195,0.9967391595251323,iwEtQmKCXR,WEmoksnTikt,EjNxHFlpVCNRuKt
153,CxwxLrJhzDtBLTCklj,427,0.4177030983824893,0.19055545424011866,YJMgzBkdCaUyUUItwz,RWWjSx,XFhuFZgrmjnEdY
154,zXzYIEZBUw,505,0.5255617090567363,0.013755134812018621,MvkRPoM,hMXUlCk,ZIkmncUyW
155,AynqunHW,840,0.7895044506588598,0.11730437555792694,PyyUJZvzgcyaaMAvoN,zKdaeGcjuaB,IiYKdzshEPXqmoLUuwSY
156,yYXKucOw,33,0.5226222365032975,0.802042796100948,sIhFiiQtJqq,QSuEAcXaYfd,MSSaPLQwLDzoSUfGFn
157,KvsmdqBYDOnnpYA,343,0.2260997911737619,0.34999828977840564,EuRwwgZr,VvMstEeUnlGUBefc,pulNXLAWaUGJoNpeEl
158,beiuBDSZgednfbLvYaOz,43,0.9051956984424008,0.7747177846426624,iFxCHp,etYFhWBVGlBmAUr,emOcMNNxbqXpSdPPzllG
159,GHndPGofyoTLCe,235,0.7393170304009514,0.3796680628069732,qgUwkqlmRQTKDWHjfM,IqeuIG,qfhnwdBd
160,qzmPpQIlTAQRHYbEHwI,186,0.27719815549951166,0.7601713553573882,EcLvvyIC,MdYrJAcV,zZpPXfdtBhRgc
161,kKvgncyhwTdJz,191,0.7130958764439214,0.10492155345558962,EQYEE,mhriHHHIPmUjkEqwSs,kuVynjUCtWmf
162,SwAZjiJfDFKp,741,0.7210634692514502,0.9733477136356351,dumeOuToVRmACSLL,RtaHE,QcQvNXAvCQATYhgaQt
163,zNNYgcbNGcguuyOGvYe,158,0.552721741751009,0.8262001058337736,HbrGagdMRJsKqoPl,noQut,kYiPfGpCkfxpW
164,uNskfhesKaSWTr,507,0.5747071706224046,0.1843572541581293,hGOUVsrJE,PeKVf,gjibdqwIdrUDBPY
165,gBYgzwJAJyaOMlGoQdzI,168,0.26445190265816565,0.6695849972136523,McnmuuTgglGsuvBJOpl,mtONwMbWaakVnxdWmIq,VcZEhK
166,fqrqgtYLPmDbmS,418,0.07903507080333927,0.30898083971208246,EvseEtQhqLmqwtjSCdYq,vhRvFfkRBDqJqG,eDFPK
167,aEqTNikwocfvxXH,227,0.20276251521098898,0.1976182234338506,RWhdobFUCsIosi,nDUwET,NFQgZGpJmIiesuCXRqY
168,fwFxMCVemuQ,637,0.5263781508643289,0.5374304000498916,AqYvzIvtQTMmDgGQ,NXAorUZItZBpJNKwDi,ixGIlxRNgEpl
169,DeUsCU,180,0.37662711849555874,0.3391763724880368,EFDwGJYDYEvHkhyzTeE,vJRCJSYBI,xVVgeXMKtmGzfxhRkupK
170,JDuuWWMGotyh,822,0.4787892179788289,0.24562123589679008,OdwdsboqhWcGYTi,Ddvlq,OQBLICEdiHYIPoS
171,herjDobBImWlGLBpWrm,984,0.11137058341125639,0.37565559194221143,amEuDX,goGPdWPsSygZF,EQknP
172,VDgvzLOWbUGdyWYvmb,932,0.13939426599657778,0.23815864099219342,QQMDvC,GldVwAAe,ssxEXVNAjhu
173,jYRvMH,590,0.8471801326291839,0.674582948108818,BKEmcwDgRiTA,JvZQGBWsoMNHOcVy,odpcQuXgGBzG
174,XNjXlb,846,0.4014593892059013,0.7394050880862191,AlBuLowUxgs,gFIkRGgWiRFrstXOZC,nkbGQiaRnFiMgtltAczJ
175,HxbJTyblHMsp,788,0.2566957257912158,0.7526668295394248,WXpyabf,hDIuDVvSYOgZYbPnvetu,DVCmhdCcZCnXk
176,ehFOWjfSC,717,0.9311487229605695,0.5131725147719058,cAjkZMAnHsQNmzm,nfGTBzUNXZfPTQBlzh,IUptDZFjUMTkDBH
177,KpNakxaaKTvWqj,354,0.00788500750318566,0.016009412358161557,MMoOutbhNn,EQncrqMqLPSJyVWOHv,aKnBjeVsPpiJhfpzkoB
178,dpRagZLnPscAsiNkRiP,665,0.4779406630396652,0.5934093470636366,urZSQbODzQ,SkotjGhXSKkuZVnJoDkT,ZSFnAttVYQpRp
179,rQmVNNlNCvLxXqARF,843,0.7167346160118683,0.34621929905562043,sigGIPSO,jCxQoL,qxFPVgciASi
180,LgbJCz,698,0.18940788968267297,0.8443819250516854,vTWCRkOhUUSwrWP,CCpQkLQIjuNAWtojbL,MjCRDtK
181,zdtnLrtjybsJQDIGuW,778,0.8835809023984184,0.34447681310918754,DQKIXDJqRFQGQCozqBpY,TVOrLRISFDIvbxcvhCur,GcwgUyEaGMbCzeeHr
182,AHxuARyCVaPPS,65,0.9841579299978486,0.5553318552054703,BBhaisbwkAyO,jQoWjBeojS,EDSfSAcLfkwZYhU
183,igjewdhmYCbVrAP,862,0.6353569882630099,0.5426699878817639,oVtruFbCbwYFVLT,jICLNKG,TkNLtT
184,fyfkGcitUzTEeOivvu,842,0.7303232174168696,0.5695845964790168,zSmlikmDVCROqGzk,lXybXQtmh,eKIqSjMf
185,HCodvA,81,0.15640789846488912,0.5152056853751144,SaLyfjbhWytrWxQ,GxzRaTgXpVKJCYPUR,LUosIQRSdfnKjDlmmbo
186,AkDiCIxP,794,0.8394607288670978,0.31685783462802486,oVtCVM,ObXPXVlVPfbG,oMTGHBkXDTx
187,otxrlM,466,0.8392312509045063,0.4419964155201421,EGyCTlDLZqPJmJHLwP,OJEJb,GBgfNxLTGTxH
188,ARXnGDXUrnFJg,836,0.19245294455349793,0.05203691840284441,HWChUxP,Palbst,BcBHKIOzEE
189,BEqLtlTFZcTmmnsrgAe,620,0.9709033011035532,0.780090932730757,lNZpjUoPyHKuocLKjmWF,IauopxovwtGQwfnIk,IfCVJkDIa
190,eIOpDJ,404,0.5492065825728827,0.9761041229059129,wrdtgxyktkVSXJWcg,oZCcmlUsBWCYCJrcOIv,bHjjGuoKZ
