,str0,int1,str2,str3,float4,float5,str6
32,PkYDgyFVrYA,913,qJgpaLycuFXrFyKeHb,zLWje,0.060829974731879455,0.5216120007710399,tqlqLyIllvCxrtAiRP
33,VbXOggLMI,837,LmnwYMnnDqjUA,HNuUXBvvlbkgc,0.5072969012447158,0.9438361294177314,SprgYYogBO
34,rjpNHDvgdynljieJPUqP,459,QYRMKXnrSxscYGbxD,SFyrdHMSaCIMDpLuRiJ,0.8273557235455425,0.9907875857319184,TMesLXmJKoQ
35,XEMNIdoJkJSh,470,iqLQS,qlUFmEeCXKm,0.6647302561119066,0.6786183935365966,MKGdaTidjxr
36,JgKVdbdYzFvuinK,559,yfLpioxySpSaccf,mpWVMuIfqi,0.5325552131427107,0.0654044326991261,QSmYgFsfoacihcyIOfm
37,hwyhTeyVXkXU,403,GXfFYYi,PKaHrFAIbMIgAptUuMJ,0.0954874508103345,0.6031801564649177,EwaEDizrdFwl
38,TReczNOOwCvmHQF,204,UlhLxpkqYpKiIDPFc,jKajswwpVfp,0.06518175379523006,0.21396077572646788,tOYLZMZjXyJkmMC
39,TyGNRYhONmwnZpTzhrQj,479,rwwfPnnQICqANHtoLq,MRdZSEKHpapjSEtAsx,0.6063052342131982,0.4827288028612501,GbTAjdCf
40,fdVulkMn,40,iEYYFChGEyc,XZTcaoSmuCbNtKwx,0.15980736714545185,0.09907718983077818,tcuWbYcybKvXQmkfJf
41,dVZRAlMA,769,KhyDeG,DziVbXmsiFiZhtnwynFh,0.062345189088607755,0.710966636250487,zklINfkYqMb
42,ipGkb,990,wBsDSyl,pCxCXIiOfiWrUEU,0.5075426301234581,0.09490244050260233,aHcTnhMrzNrbRc
43,CVqFbVBbCMhJv,406,KNgfo,nUNeIyz,0.7638820689380356,0.49743844095841183,DwTfVnnl
44,ukxwqXIAquRAUmcRk,297,baDIoYpm,FWSaxRFMpOPlsI,0.10604603573820948,0.7392103953856827,HXBjMhmzBZOmhBJ
45,JKqKUZEkpq,994,ggbrETvzlPszZrw,UeuwCVRJqXe,0.2023137609626967,0.9339567621941914,ZQVhBiq
46,QukadigPYjesqfAfa,488,riXBXeKkj,kUbNCZKTFDbGuk,0.9382780897223993,0.32390496146523184,joszaN
47,ScsUNPExMBcLrLPJkT,388,HIzMMayNCgWCoFrnYK,dXVDHgj,0.9782707937036383,0.11128112641218113,SkLdakMxvdoNLT
48,YvmbUDmiNicDicqUXK,932,tKQwxBNEkWOs,HAQBpVaPTuwSJxtwh,0.8408285983158464,0.8573376518839718,bmluCMuXq
49,WWVAMQXkaQdxnCCZ,810,LizTXXjlO,RzKXWEYvF,0.2880525869155396,0.8258356069162976,tIujrbxWRKqQb
50,RhKjJApu,263,ShAnzibEKiC,kjvpXztxKMGaLCm,0.5533899401567857,0.5036858166024395,dxXpedQcF
51,uMGmKMUmHsjuFkxnrkLS,146,xllVn,YPTuFeOOSG,0.6171950414114344,0.9992188587827352,FCnmORiqLIlremPum
52,SdMMxngJdZBMMKsk,154,IkhLJjgvKyIjOTRw,MptigsHRSv,0.2701631086190682,0.1837763826133948,pzTQRWRzfUfxEkf
53,zEuSMpjdZHvgIqWqIu,29,DFkTxyIHbDE,nzEeMFIU,0.6195903224748451,0.6198905939827613,UcorBb
54,xfbetXKADLaSbSOvD,77,OqeVfMPnuLUetAWfkxP,eEqPUSSYfjz,0.7499279892823106,0.4656657959452515,ETToXbGseNzy
55,BgDHFRERyT,436,GtQgOsyClKZgdTvsUWWg,TgZnRFWcGeKPJbBCzXZj,0.740771657179002,0.5519211352505122,LFUaytVjpLWpT
56,qlkJUOnNWLVtRDfX,229,hABMtOvVOVBA,KpKocOtV,0.2288876409750672,0.5835036720185185,tHbqBDaiBXINO
57,pcWJLZnpiCj,790,ctFVDPPWMyOf,gwpufbSU,0.09349354348950878,0.41004227618557143,gNJThXtwezsyrlVb
58,dUbbqbXeliHvPq,949,dEhLgWaLytxf,yjuGueBSd,0.15386031827290614,0.924572565219118,UuodAw
59,WsnidHgJpOboCno,526,lENiCfXMPzTgqGquhHjd,LjgIESEhxpAkBGM,0.6497957164727003,0.06094310924961166,QYqzKpaqPBvcdy
60,jTHJEje,559,MJtXaIYZVFLcozLH,YEvWc,0.062040105921482125,0.472535042720312,yYCstUcUfQlrR
61,ypXtGqlL,606,LZaQZtjkgHnn,UFyCFdQslYuZJKPTLrTW,0.915891015327225,0.030632288073064395,xmjQKVrLulwSTeolXrP
62,eKcvygSrHdUhoHFdCf,354,atDugUVYHzbY,MjeHyIZSAb,0.6887551212429371,0.6839131509531718,KPkmdBrYSkfwninL
63,gPvxHPmuS,33,kZspNwYccQE,VPapIIxxVW,0.853576808816138,0.46200630644509366,hjTvdtxQzdjTAFPIN
64,SmXJc,958,ifpljaTsP,WiwhPf,0.5265712595222116,0.919880025360193,EEhJZLSXnIoZOKrJL
65,KZetP,677,mEuyrJjfkEXl,TiwEqFTIlMU,0.4958408303675814,0.32108332272090656,lqyUDkIYX
66,SSNwxOPrtgYRlBWAqcwf,147,SuMYdF,MHsOxEGNQHcPsGaJ,0.10045677319972068,0.39068564841901043,phNOjP
67,vHgCruoIpuedKm,681,luoxlCyenyyj,jeFTYHFumgJTQaaUY,0.46759695041890403,0.9246518812115115,GTvfnWTIfuHFRcMVSgor
68,givYarofjFgMoTX,577,zpyyiFpMDfBPy,PpeBgAIGdrEJQp,0.6503322577051802,0.9937045982343945,ZLeQoZijFkk
69,DvyvsvsuMhdjW,505,hUqiChOHMXqxwIi,vIVKlBTh,0.06915053361781143,0.20041727563484957,YEPwiGJbBLvoRThhZYwD
70,AxCREBIlpqhbDDE,375,tQQSGdpvBNhBAmaEclk,CbSrODDesXOFgJRxZxVT,0.758034528419035,0.934404620317896,wQPGcTdLvMQlznk
71,uJQUGRtkkn,584,rQWPrywfqtlTzlUxIL,fwMGqpbLthGHzlVt,0.596110014538714,0.05643739785126978,oUlsG
72,rqeXWxeefu,716,DruTguUVzStHHZtSZVB,iWKdHbpeFsbOhsP,0.6320518966661591,0.09650240620840767,jAXxDJaqarcCD
73,NHvIn,864,lpoWkleauZYSNZUeDnC,LijlIkSMSHvO,0.003015622373148119,0.21255828107011743,AjVpKcFzz
74,IyXgSttdKT,664,qMTGdymzgwNoIBdA,oHiCdNaIsgAP,0.820733312085317,0.8255387363760649,mJPwO
75,udHjcNxG,730,lGQBM,ryFfYPo,0.5693131410496942,0.049679832317400585,mkNdjEeaqUWwg
76,GpQkWy,654,YfPai,bdZICy,0.6628612592098344,0.2916144404634966,tUtrhhCfqSPSwnZRnh
77,mfpTPSDh,549,mmWVyTPDVKKnjPNDwemN,JyPbHBbAiLmpiMDDmXTy,0.6824011795794708,0.9759137435742471,NQtRoBngb
78,GRgwMqAsVrJecQ,722,AVzXdpDLcfBJqrK,FkBMXelIurdYsublIX,0.8476378336041753,0.8656498779746904,eDQeZbylljKSDfLgY
79,DibGymjBsrueeDhHH,123,JSnhOjmfunUV,vVWdBwGQwmu,0.2602425037443906,0.3186247218320284,RyMLFW
80,ZWBsxlrcJnHQONaBqDO,604,yGFydHGdlNLw,xQodZCDQXpUgHtaJybgM,0.3896384210485694,0.8379858900959202,JrOcsHkujWHTPOdU
81,TssnLYHSguYHcG,174,YcRooPRdJxuannM,pgwKbqU,0.99171430645014,0.7298183848291298,SjebN
82,HXqCoGnAbQzohaL,570,DpMXWkPfSyHQnYaA,jAIbipksrvQOctlwSKZ,0.5289020045216473,0.9145391382101797,PtuLyIE
83,ZkRMtv,521,cPTrH,glPcCK,0.14644724438344192,0.014056390336167457,ZKtwl
84,infqsk,821,rJkXZnKeHpjrypCqJ,mHuKssyyGmEtObLYA,0.23818062955157793,0.6578803974745873,HHLofKxBpaKRoUdEAiT
85,SFDycGp,387,kSPEzCuQviYEBFX,EonBRxAJ,0.10276326883429654,0.47380610385366584,LErOViwnOL
86,UAerxaHjURtFDzsHD,18,EyduKlbNDkoXYLMpfFGX,RGOmzbmcJeIxAMRpSTAh,0.031798367229985525,0.15161782877186802,IVExnJKCqf
87,XhfCAumVkgTjSBIyfP,916,nBuLWrAUNXiuQy,RiWiHOp,0.7686248428607114,0.26886397056625233,COhGAZaimb
88,SGtCOtYYWhaqurhrcXY,91,KmmNNFNu,OFsLDJJpDOWTfI,0.020860034460492005,0.11438247633104803,IqjuREHxFaX
89,zBqPswTfBrnb,446,tTiLs,xTtXWXpipbPH,0.6029412035215213,0.6397157140715971,nZbeyy
90,lKexPzhuyRY,219,uaEePcDopZsPcoxqul,qnEEwxuG,0.29246527609425743,0.9331496452523191,lfYmDcBMYLfkIgyj
91,UKVahKSIEgs,85,ftMUYpscJCtaqKlMJ,YoWYHbeXxT,0.4314340511237993,0.41371037054995075,EwzjLFIfl
92,FuwNu,96,VcYjLoFCmEWtQRlRoE,JrFncKnWemUsrHqvnyXw,0.44712358623688764,0.463165815494638,mQtFPbZPB
93,MINXeRNWtoTsONGy,273,rFTUhN,LvIhndeAqngxidC,0.3974114485529928,0.646094658487981,SFTkUGN
94,QBxQWsjwqMVb,104,zZNWFFfsKiZBJAaMefn,ITSKZVnDtP,0.5413288171104408,0.18581095726687769,advKgJ
95,HmExDV,857,eQwichkWdUZvmYGGERRA,hVpFHrcFoqBvToe,0.9830005577023515,0.7008099100089533,DmkqYAgAjDnBQ
96,xtFFgWG,630,tbkjJPXOGSPmdlHisaF,HXCWXUfIkaLacq,0.5224683004020568,0.27282862388061335,piwfHilntUnjqybxr
97,efOZzRtXKdZNZ,542,kNxYcMoVXBUTjLdNyBp,ckIMm,0.4374239940254254,0.024654399735414834,ogDFSxKixpCDkiP
98,ZCgWSfpTMWaOkWrB,22,FvAocNRYJM,gXxHnnCRQDq,0.4251513118946778,0.2861135152625809,LlHICXhbimQqXNu
99,HeycroSFBRCNWKkYhQL,176,GSxnrJOgdVcjLKuIlnI,KEMuklArDqPBoyUKCIVp,0.03528474649900237,0.3787978178045246,SMrvSlKOYrkJofWzmE
100,syZTe,105,pjyFVlkhEpLuegxP,lQdnHNxxnjgaigK,0.6110068579761124,0.7007652072378195,creHaiaFcgdoOoWAfw
101,deLKGabmASDcDlhQ,854,zcFNvrHdn,CUXduxZrfWwgpSFj,0.7712169113513907,0.9892220556592265,YqGayMgCfUNY
102,nsBqy,596,HHKFIoL,yjiklvhBOCyKPOaq,0.4767987458817672,0.693230339959,uhCwv
103,LRszp,272,hrZVqJPpcHDkUPMkS,XrHqcnKXpKrVnqZE,0.8933108525435914,0.9713031928120714,bzgVdpmKUdZrpkffcM
104,uConqXiBoyhuyPGwRzu,513,ZRAVPNJuO,sNBzJDEFv,0.9925294411380042,0.8672963912866538,xALaOzsABfOMZMe
105,NKelGpnOZWualcAQP,703,IKsRcvfxsdwRcKHKO,lzpZQZxgExWgaedCdsLY,0.6446933727448767,0.30699474555623896,xbSkd
106,AhAaMLrSSJtlQJrzyf,797,pvaLhIiqAgBhXUTNAE,EvDMvMzKXffvoE,0.8667096190205045,0.8418041084916413,lfSiDWjLwIEIzYt
107,oeIyuBQYHxrzgSN,268,CCXmoyN,ytpprmKTjMHqkB,0.8056813941362702,0.7460032767701954,fXZXED
108,Sbvtyb,249,JTvcqwOfjto,xfCVyjaFShIrQRuOtN,0.7985072973019844,0.10199233799041407,CVOHyvPhdsugktsCMp
109,bptcGWylAIZrljNKoYh,740,EWude,IGUbwTxBTvaczEAbyNu,0.5042011398014887,0.8973019752249186,lWaewNZmnBNNYxNAD
110,dHhqnFLuDoeF,769,CPEFKlGs,wtgvkveNVHAvLTCcZ,0.8169784419543819,0.6558637424754576,VKfmONgHpuAohr
111,vreueAyWkQGMF,93,gaOdGBDya,mfbXCXozpYa,0.9546709934034331,0.0922334789348006,EYxUsyzGkhCg
112,ksODIhcyL,460,HhOIihXEIXdjurWOb,uWbosZGvDlVIqsxjMklB,0.3335413516309469,0.7040719329580316,RpIsDMLDDqtclNXhm
113,kfRSQooETlJIvTcdDWVX,613,ezVRoZIVMpZNpHT,nybCzciOWUc,0.9564871807665002,0.724592702833978,ASAlczEHqqeyQ
114,wSudFpNtyqRDfMpTazZq,944,GiPCgh,kqSXBveSuLAgZDdc,0.5152344344593848,0.9314810931122588,nlsuLUMPElqdjnUoT
115,wfjxGdCma,578,XykZZGWHL,jYfodkiMguWtUe,0.6326246733098807,0.7989744305888223,uEliynQJeTe
116,yVuBG,621,uOIAaelEf,FJTMCoRdLfTdiMo,0.01885265384596202,0.8828869137823516,SopJIoKrDpb
117,aWOXCJUZBDxj,858,JXRBjAEDzSR,sWwEZ,0.047951827366419786,0.5454489288521255,unkih
118,jeeKip,99,jKMHP,kGainMLp,0.27029375943372413,0.00034883728792878266,TuVWVaftdq
119,kzxfQACDhCvjJeLsP,441,bAObKwqpvmJGUQlBTSe,TyWKWxAbrrHBesTnPEN,0.8582654296644453,0.8445112811147341,lGRQCcepLqr
120,wdANTr,148,kvqrQjNBjbq,HVpxlR,0.43244394176106504,0.13860285089163482,RfctFNgaLyzs
121,NURgCKCebFASKLkmJ,903,yjMykn,aPUTN,0.702158979172226,0.6470852727118348,RzDmhAHSAFICIGJgUt
122,gQdDjdERvpT,443,aMmJFhneez,qMRYobE,0.805195224268813,0.9499499317347094,eTerXbHUcsPXXIATaUk
123,caZAXcIGZBtUsaflQ,928,RPTmrLfHDuLlfVoQkWZ,NOhaUuQaJVftxXNdP,0.4760873070436209,0.0764532128536034,QxmrEyakXwlm
124,IUNtLeDOF,158,viWRYpo,uTbSenNE,0.20365662705926058,0.7087422448612435,ohKMelYHXubu
125,NCZhSwkxBRspX,186,oJtpirtoDFMXGqW,eQCRxHSVu,0.28737551315727183,0.32177071430611204,vPLgbJOoavdiRbI
126,oBFyeDapEot,421,dGIGtQCJsBkJdc,CXzMExrRBJKnWF,0.572147085158321,0.5266669007689493,fmMkaSAHGeDNYfx
127,NaUpZBmeLSKHNWLADHK,169,VpcZfsdWQyXEXmW,odBfCObeaNSOV,0.025440811923567952,0.036713794243428466,shgMWOqyKIOxLWEzZJeM
128,pRIkjkpktbofgh,517,LOHQpVOmRM,DwtklWtWvQtqi,0.47618561133813864,0.7922380485755198,BvdkW
129,pFCebErJYvSt,451,bZSHPItjeobMIQUVXPF,cjHSGNWvXC,0.012787419885392004,0.6202226884870146,ZECCX
130,VAIWvnaLYceGYES,149,ruxijst,tgQmcKOWd,0.6797608853792927,0.8939691046116878,pvGlsuneDHfew
131,dptkydoZXNbvxlHN,840,MWerCxJOZAXkL,kXdOSwjj,0.09538387908777834,0.03602615188512115,MuyCDZe
132,MXNpqz,83,mqBTbXsCirzwR,aCybmyhJPmogBYpBKe,0.5925146863627593,0.19332424316903862,celUWQs
133,eqsJufMbtF,267,RewbnWEWCqjHdtiAIlfG,AizvQGtt,0.5863533340266477,0.7055006903060044,NYMEpSsd
134,cQItQV,528,WQzajQOJNC,dtqnnivTAfLmaBx,0.47015946165574773,0.6544027531299439,EyGORryhucMPIzN
135,WMZSlb,97,UdOrzMRPCDVcBIbYA,hvHxvPgip,0.4614035144402291,0.6772634422140522,wVMMshfO
136,BLTJemTl,945,CwYMxkBGKkEXqijqjae,HLMZBQpTOoBKGONbMF,0.11843796165706189,0.27756421332813064,zDOkQmTwz
137,dwzgRsuqTBM,80,tOkEctDSgLdHEw,HDKfJCukoKJfejnfrjGj,0.34187023339072486,0.4838007964537496,oHRuSpBpnnqNLBwmgpbO
138,SHiyjsvGdaGAUXR,132,KaIacfSesDrUF,JkjvpUYAC,0.658696189326656,0.9345425841600737,xisqbFnSGkPm
139,NaKQlJdb,466,XwzZArksrbzVDsgsTS,stMRpEFvjkTVAZM,0.14740203819546815,0.5698451709246498,LmJUkpcBT
140,Nkwhcyx,950,BimsTPCtKSaITorFr,IBNjVhxKQSiIp,0.8128006699816842,0.2133537013505178,jUOeukQSjXAxewcDxX
141,jTKCYfNcKd,819,cEKwsRJ,cwifRtIhqFLqcVdQpnGm,0.2034564788856248,0.9922177948354526,SvmTKkIFsXxZyMRLQO
142,rJYFiKTSWPGEj,933,bLXuRwGUbcxk,eEnxA,0.770027307985424,0.5045234519706779,htFODGEPnGeQ
143,PDHwVMtFXQSNtm,805,BBFljrFxi,oSdBh,0.20214455098076833,0.048775198657986296,TTGREHrNvPOHGA
144,HmxaaoWBhobzaVjrUZ,560,MfjxKULIGbdTcEArC,KsZIiwgCWoYMH,0.38060492994672734,0.6087157568196195,MliLDOmNwc
145,bsKnkHpZkgbacVXx,286,aARbpctszeumRk,VcvkryhrhQB,0.30245655236315927,0.23731916708112988,ORIxQDrUTfCfvv
146,VNRbdmLDRrvgu,823,zuaGhLAQS,EdXTxpqtiEQCzCYbB,0.3089712438595098,0.7156267187104773,ZEedSEnntRVhFyEqUVOs
147,QYUcSMlEyWDKlO,633,lEprWVSyIAnGrVj,VNxwepEBFCFTVMukNnR,0.3998658740811376,0.5066989103601497,Jtdpoy
148,nhNrfxpF,947,IWDGWucgi,mpBovGNDdpLJheqrzQX,0.08396259154331553,0.6128337137185016,GgPIoeOVguyxjRPaWhP
149,TQiLVGnNevNHaFLsVKE,836,BqQchyMv,jxPwZsabJS,0.47218491179438626,0.6828643365024519,nzAPuWwmHXnM
150,OqaFBvCtYRqgNtLYX,643,zLWWfiGeojn,jNOYpYcoLViNY,0.6104967059277656,0.6890986071591364,qtcJWsJLIAYY
151,IHNQdFkw,798,zreLpKQhJNYqTC,dexBpYELzsiN,0.8273336366435153,0.658220892273584,AGcaoOdPFPVtAFL
152,dlpLdGurKvbbUhTC,739,UjJGQI,oiclIhgn,0.0016524433394073945,0.6385175657262683,GxEhZFIYDjyiKiA
153,WYZyBlpyIGw,769,WBlNZMoZPBT,oEdivDEJC,0.5032085281477415,0.7488757033895962,pAFddyCXXsdYnT
154,xtOjH,435,WondQOBcgrgfPzIIHapP,DLYKYxhmsknBzThgM,0.2119731495663736,0.4052833428447732,YGPCQNKQRBUEc
155,wvrRRIUHAuaI,8,YgJSvPiuVNbWGuD,WzdYzapg,0.41799867983436556,0.45197705871063276,UMVGtnGzSE
156,Vhftut,24,tOujkI,DhvNVpZVtXdusrlDOMVi,0.6508002917870459,0.20585287787010664,YzfWkoiXJFFbR
157,zdFSPtqs,509,qteBOS,BZiNUPVRoTYrxBhstGP,0.8980061143588115,0.9218466611912475,asxTosUap
158,QzphOCqLY,945,kzAOlepd,RbFLhsh,0.33338446593225624,0.14965896441552462,ldSwjSZwaRBkTCPnTXI
159,TmMHuIsvayzkOjCGZ,223,uNFrbAayeRWZcoeJNIcP,KsWHs,0.7684130528967331,0.4495103265111732,OAjNgnNxefcDflmO
160,ZCykeuLgrntQmPBWcVFt,825,MIalUbdcNUxpm,ZpXcQgNieMCXvCn,0.39858433434329676,0.2047442223225412,moBmaw
161,LGbjpJUcTOjFyCnHzV,415,rZPqzeVihByYcKPg,XOGVOAgSxQ,0.504521538465536,0.6865398852523998,lWJUObHBd
162,DAeKxPZ,250,OazlazfPEYr,WrCAJIqSVI,0.5982093090037301,0.8834373378155626,fEJSYnlelHGxEEO
163,PQhquGoGFqReUD,336,ImNzEMylHecuTTvvTGBp,iuekI,0.20093668479247895,0.8950157768614453,MaBZjaIvE
164,CUzbnHCYvDZgu,253,XqPrHoSMYOTXZbiiKIJl,NKfCBt,0.5965355803314313,0.5170169463078212,jfPQaDWZMjLn
165,EhGQfXBKXhvheSAV,418,WjgmQ,XpCNUExcpAyZI,0.7274347263213313,0.761974542449886,QwNfeCXhKKpSOXcmk
166,EpewstFmVSV,200,gctCDjNGDWgSyoZH,BaVvdEbXoP,0.2363504520833103,0.34644812158842775,daziZSXAPWvBtg
167,psJyOH,442,rXqdpVRiISp,sbPhLlUhnYzXPWKn,0.44952280866808403,0.33688786887989486,GmXIYQgaFVuGrZQ
168,aXthZEJlDniIiImyl,557,FlDADWe,QYoXexrFvcky,0.12886201814501397,0.21257932848220829,NhJgQFBuajlArFxx
169,HnOVOav,399,MQkPagUVKGiSZyh,eBwPcjibVaYyOvP,0.28272418771438224,0.3686839860457737,QSHrqq
170,SjsaLUTScpBweHUz,554,RyjkNNxqeuakmRomEv,cPaHVNelkRcxZ,0.361487705839762,0.03730464582948145,aTYYFGjPq
171,slvVSuF,368,BpQBLjxthTttHB,IiPUsLorDnFT,0.6090756125685821,0.8510132217959456,ZVnHiGfDaXNZykI
172,ExvAzTQDGxN,41,FvhIcysvuKWYRbpt,VoXSYTcRT,0.11048664556747834,0.3613777359288278,wSpveHIkpcYX
173,ufEjUSBmfCe,301,OGrSFnjBiVOdUkAe,ywuZiKcSkusqAuZbSMZ,0.22796726984895577,0.3546200901899289,UnvevxTtAoLF
174,NNCnIqEOQb,990,iDkdFrWVkteBdY,elGNNCmbxLQSeeUpsdoc,0.44948496388066583,0.05823573937233728,HbHVgCsmE
175,rIhELPKjPK,801,jQEzje,NnzWlPVzTmFdA,0.6830674628489581,0.13281759165638507,CoxzdSLxB
176,DQJvoddJiy,963,DAbnuHkYtBKKp,ioqxAk,0.5527765400783068,0.8455280535586684,cJpFyqBeoHYoaGbaSuE
177,HRNOCKxvvmr,819,XRxnhXNrSW,WMHQd,0.4797448422342112,0.5563361881982289,TNwBLgfSDmdFIkKwD
178,MKAvtNuYlqYvYanAH,183,IiPXJReLTRTVjeWRGUJ,rbUIaxb,0.8004832740944287,0.7696665138125477,pgTbMEbbNqsF
179,LZkEMEtRvQoU,514,pdLbnIzoBBoGfONAvbIp,EUvSOchTBZGDUVTGjIK,0.16608518263188266,0.8777698084144955,oAYqRcTkkkFpE
180,gCWieIY,937,lZRZU,TJGVCaQbgKRZEjXmBKj,0.9060828713768638,0.6915595712354391,yKUBkdeemmKJckUINijZ
181,dFCfpyGMGOiLAld,753,zQlilKHQHKuah,YOvjatzCAG,0.36697928767379817,0.03307810079089235,LZmezmAIOeIfA
182,lWggXtdvVLU,35,MGnpktTFFgo,PQyCXmPUwPwti,0.6996507219112051,0.37132831787448406,SXSgGSRAr
183,hzPWfIHoDObkt,225,mycIukLIasIUyFxUHkQ,fUkkozvp,0.45699936403421937,0.7442600860587123,gVBJuBtYDHwV
184,ZbUVWDpGpnQ,681,AKBdyWPCfEZXg,DhrrjBRubUqD,0.32656165518150615,0.5349309059370382,oJlyhKcTmbfAvI
185,rSxmYbKIuReMdNDR,871,GzJUI,uSWfDptVOqehOfk,0.7903800817884299,0.8751295522686905,obRYgGE
186,brJOcgg,127,NliyBToJ,lKqrbhfdjNjaPTwTqjF,0.5805087973495912,0.47009421114379357,seeAHrn
187,SXfoEIxQVK,579,snobtLITBgypSNaFgVC,XxAbBt,0.982032447097269,0.8150574203187382,jGtrySnLkfomWpGjRYA
188,RWHdqvWAWh,256,zUvHkFQdaHWnsRjsgc,jRKnjPjBoNlwUmPFX,0.9194803875689602,0.35847183453118237,xUvXfsLhpk
189,oIpAMgEJJzD,945,rNHSwATQWXudMs,kUlSfTAaYTMIyagNK,0.8208708822756831,0.3184548219347316,YFJnHh
